Price at Date,Price in EUR
2023/06/08,118
2023/06/09,145
2023/06/10,139
2023/06/11,139
2023/06/12,139
2023/06/13,119
2023/06/14,117
2023/06/15,117
2023/06/16,117
2023/06/17,113
2023/06/18,117
2023/06/19,124
2023/06/20,124
2023/06/21,107
2023/06/22,107
2023/06/23,110
2023/06/24,110
2023/06/25,117
2023/06/26,117
2023/06/27,117
2023/06/28,117
2023/06/29,117
2023/06/30,117
2023/07/01,117
2023/07/02,117
2023/07/03,117
2023/07/04,127
2023/07/05,127
2023/07/06,121
2023/07/07,120
2023/07/08,120
2023/07/09,120
2023/07/10,120
2023/07/11,120
2023/07/12,120
2023/07/13,140
2023/07/14,140
2023/07/15,140
2023/07/16,140
2023/07/17,128
2023/07/18,133
2023/07/19,129
2023/07/20,124
2023/07/21,124
2023/07/22,127
2023/07/23,132
2023/07/24,121
2023/07/25,116
2023/07/26,116
2023/07/27,128
2023/07/28,132
2023/07/29,136
2023/07/30,136
2023/07/31,135
2023/08/01,106
2023/08/02,117
2023/08/03,120
2023/08/04,124
2023/08/05,104
2023/08/06,115
2023/08/07,134
2023/08/08,139
2023/08/09,142
2023/08/10,142
2023/08/11,148
