Price at Date,Price in EUR
2023/06/08,165
2023/06/09,165
2023/06/10,172
2023/06/11,172
2023/06/12,174
2023/06/13,199
2023/06/14,182
2023/06/15,189
2023/06/16,179
2023/06/17,184
2023/06/18,180
2023/06/19,180
2023/06/20,181
2023/06/21,145
2023/06/22,148
2023/06/23,148
2023/06/24,172
2023/06/25,177
2023/06/26,176
2023/06/27,157
2023/06/28,152
2023/06/29,164
2023/06/30,164
2023/07/01,164
2023/07/02,157
2023/07/03,167
2023/07/04,170
2023/07/05,174
2023/07/06,184
2023/07/07,156
2023/07/08,187
2023/07/09,205
2023/07/10,169
2023/07/11,194
2023/07/12,205
2023/07/13,205
2023/07/14,199
2023/07/15,205
2023/07/16,205
2023/07/17,190
2023/07/18,190
2023/07/19,190
2023/07/20,185
2023/07/21,185
2023/07/22,178
2023/07/23,177
2023/07/24,179
2023/07/25,148
2023/07/26,148
2023/07/27,205
2023/07/28,205
2023/07/29,205
2023/07/30,205
2023/07/31,155
2023/08/01,182
2023/08/02,213
2023/08/03,214
2023/08/04,221
2023/08/05,221
2023/08/06,221
2023/08/07,214
2023/08/08,200
2023/08/09,200
2023/08/10,200
2023/08/11,217
