Price at Date,Price in EUR
2023/06/08,191
2023/06/09,149
2023/06/10,149
2023/06/11,149
2023/06/12,178
2023/06/13,177
2023/06/14,177
2023/06/15,177
2023/06/16,177
2023/06/17,177
2023/06/18,177
2023/06/19,177
2023/06/20,177
2023/06/21,177
2023/06/22,177
2023/06/23,177
2023/06/24,177
2023/06/25,177
2023/06/26,177
2023/06/27,191
2023/06/28,191
2023/06/29,191
2023/06/30,123
2023/07/01,123
2023/07/02,150
2023/07/03,123
2023/07/04,123
2023/07/05,150
2023/07/06,180
2023/07/07,177
2023/07/08,177
2023/07/09,177
2023/07/10,177
2023/07/11,177
2023/07/12,177
2023/07/13,174
2023/07/14,175
2023/07/15,177
2023/07/16,180
2023/07/17,180
2023/07/18,180
2023/07/19,177
2023/07/20,189
2023/07/21,189
2023/07/22,175
2023/07/23,185
2023/07/24,185
2023/07/25,175
2023/07/26,185
2023/07/27,174
2023/07/28,169
2023/07/29,164
2023/07/30,174
2023/07/31,180
2023/08/01,200
2023/08/02,199
2023/08/03,172
2023/08/04,189
2023/08/05,189
2023/08/06,199
2023/08/07,285
