Price at Date,Price in EUR
2023/06/08,138
2023/06/09,124
2023/06/10,136
2023/06/11,136
2023/06/12,119
2023/06/13,119
2023/06/14,115
2023/06/15,95
2023/06/16,95
2023/06/17,108
2023/06/18,115
2023/06/19,115
2023/06/20,105
2023/06/21,105
2023/06/22,74
2023/06/23,74
2023/06/24,105
2023/06/25,95
2023/06/26,95
2023/06/27,114
2023/06/28,101
2023/06/29,101
2023/06/30,115
2023/07/01,105
2023/07/02,100
2023/07/03,106
2023/07/04,107
2023/07/05,107
2023/07/06,107
2023/07/07,116
2023/07/08,119
2023/07/09,131
2023/07/10,131
2023/07/11,120
2023/07/12,103
2023/07/13,129
2023/07/14,135
2023/07/15,135
2023/07/16,135
2023/07/17,128
2023/07/18,123
2023/07/19,128
2023/07/20,139
2023/07/21,139
2023/07/22,139
2023/07/23,172
2023/07/24,128
2023/07/25,128
2023/07/26,128
2023/07/27,139
2023/07/28,128
2023/07/29,128
2023/07/30,128
2023/07/31,128
2023/08/01,140
2023/08/02,147
2023/08/03,155
2023/08/04,168
2023/08/05,162
2023/08/06,170
2023/08/07,180
