Price at Date,Price in EUR
2023/06/08,166
2023/06/09,178
2023/06/10,184
2023/06/11,170
2023/06/12,157
2023/06/13,155
2023/06/14,155
2023/06/15,133
2023/06/16,133
2023/06/17,133
2023/06/18,133
2023/06/19,133
2023/06/20,137
2023/06/21,130
2023/06/22,130
2023/06/23,120
2023/06/24,120
2023/06/25,121
2023/06/26,127
2023/06/27,124
2023/06/28,130
2023/06/29,130
2023/06/30,162
2023/07/01,151
2023/07/02,144
2023/07/03,168
2023/07/04,162
2023/07/05,152
2023/07/06,162
2023/07/07,173
2023/07/08,172
2023/07/09,174
2023/07/10,142
2023/07/11,142
2023/07/12,152
2023/07/13,152
2023/07/14,130
2023/07/15,130
2023/07/16,130
2023/07/17,129
2023/07/18,129
2023/07/19,138
2023/07/20,140
2023/07/21,127
2023/07/22,132
2023/07/23,132
2023/07/24,149
2023/07/25,157
2023/07/26,141
2023/07/27,158
2023/07/28,164
2023/07/29,163
2023/07/30,177
2023/07/31,180
2023/08/01,175
2023/08/02,162
2023/08/03,179
2023/08/04,197
2023/08/05,172
2023/08/06,178
2023/08/07,187
2023/08/08,179
2023/08/09,191
2023/08/10,183
2023/08/11,171
