Price at Date,Price in EUR
2023/06/08,144
2023/06/09,119
2023/06/10,119
2023/06/11,109
2023/06/12,109
2023/06/13,119
2023/06/14,119
2023/06/15,119
2023/06/16,129
2023/06/17,129
2023/06/18,109
2023/06/19,109
2023/06/20,109
2023/06/21,109
2023/06/22,89
2023/06/23,89
2023/06/24,89
2023/06/25,89
2023/06/26,89
2023/06/27,79
2023/06/28,79
2023/06/29,79
2023/06/30,74
2023/07/01,74
2023/07/02,74
2023/07/03,74
2023/07/04,74
2023/07/05,79
2023/07/06,89
2023/07/07,109
2023/07/08,119
2023/07/09,119
2023/07/10,109
2023/07/11,119
2023/07/12,119
2023/07/13,119
2023/07/14,99
2023/07/15,99
2023/07/16,99
2023/07/17,99
2023/07/18,100
2023/07/19,110
2023/07/20,110
2023/07/21,110
2023/07/22,110
2023/07/23,110
2023/07/24,85
2023/07/25,75
2023/07/26,80
2023/07/27,85
2023/07/28,85
2023/07/29,85
2023/07/30,85
2023/07/31,86
2023/08/01,90
2023/08/02,89
2023/08/03,89
2023/08/04,109
2023/08/05,119
2023/08/06,144
2023/08/07,144
