Price at Date,Price in EUR
2023/06/08,50
2023/06/09,50
2023/06/10,50
2023/06/11,50
2023/06/12,50
2023/06/13,44
2023/06/14,44
2023/06/15,44
2023/06/16,44
2023/06/17,44
2023/06/18,44
2023/06/19,44
2023/06/20,44
2023/06/21,44
2023/06/22,44
2023/06/23,44
2023/06/24,44
2023/06/25,44
2023/06/26,44
2023/06/27,44
2023/06/28,44
2023/06/29,44
2023/06/30,44
2023/07/01,44
2023/07/02,44
2023/07/03,44
2023/07/04,44
2023/07/05,44
2023/07/06,44
2023/07/07,44
2023/07/08,44
2023/07/09,44
2023/07/10,44
2023/07/11,44
2023/07/12,44
2023/07/13,44
2023/07/14,44
2023/07/15,50
2023/07/16,50
2023/07/17,50
2023/07/18,50
2023/07/19,50
2023/07/20,50
2023/07/21,50
2023/07/22,50
2023/07/23,50
2023/07/24,50
2023/07/25,50
2023/07/26,50
2023/07/27,50
2023/07/28,50
2023/07/29,50
2023/07/30,50
2023/07/31,50
2023/08/01,50
2023/08/02,50
2023/08/03,50
2023/08/04,50
2023/08/05,50
2023/08/06,50
2023/08/07,57
2023/08/08,57
2023/08/09,57
2023/08/10,57
2023/08/11,57
