Price at Date,Price in EUR
2023/06/08,58
2023/06/09,58
2023/06/10,58
2023/06/11,58
2023/06/12,58
2023/06/13,58
2023/06/14,58
2023/06/15,58
2023/06/16,58
2023/06/17,58
2023/06/18,58
2023/06/19,58
2023/06/20,58
2023/06/21,58
2023/06/22,66
2023/06/23,70
2023/06/24,70
2023/06/25,70
2023/06/26,70
2023/06/27,70
2023/06/28,70
2023/06/29,76
2023/06/30,76
2023/07/01,76
2023/07/02,76
2023/07/03,76
2023/07/04,76
2023/07/05,76
2023/07/06,76
2023/07/07,76
2023/07/08,76
2023/07/09,76
2023/07/10,76
2023/07/11,76
2023/07/12,80
2023/07/13,80
2023/07/14,80
2023/07/15,80
2023/07/16,80
2023/07/17,86
2023/07/18,80
2023/07/19,80
2023/07/20,86
2023/07/21,86
2023/07/22,86
2023/07/23,86
2023/07/24,86
2023/07/25,70
2023/07/26,70
2023/07/27,76
2023/07/28,76
2023/07/29,76
2023/07/30,80
2023/07/31,80
2023/08/01,86
2023/08/02,86
2023/08/03,86
2023/08/04,90
2023/08/05,93
2023/08/06,103
2023/08/07,103
2023/08/08,93
2023/08/09,102
2023/08/10,102
2023/08/11,113
