Price at Date,Price in EUR
2023/06/08,88
2023/06/09,83
2023/06/10,72
2023/06/11,72
2023/06/12,78
2023/06/13,67
2023/06/14,65
2023/06/15,70
2023/06/16,81
2023/06/17,78
2023/06/18,84
2023/06/19,87
2023/06/20,93
2023/06/21,76
2023/06/22,76
2023/06/23,78
2023/06/24,87
2023/06/25,88
2023/06/26,88
2023/06/27,88
2023/06/28,88
2023/06/29,88
2023/06/30,88
2023/07/01,91
2023/07/02,91
2023/07/03,91
2023/07/04,90
2023/07/05,90
2023/07/06,85
2023/07/07,90
2023/07/08,88
2023/07/09,93
2023/07/10,88
2023/07/11,104
2023/07/12,103
2023/07/13,103
2023/07/14,108
2023/07/15,103
2023/07/16,103
2023/07/17,86
2023/07/18,84
2023/07/19,77
2023/07/20,84
2023/07/21,84
2023/07/22,84
2023/07/23,84
2023/07/24,84
2023/07/25,84
2023/07/26,77
2023/07/27,72
2023/07/28,77
2023/07/29,82
2023/07/30,82
2023/07/31,87
2023/08/01,86
2023/08/02,89
2023/08/03,89
2023/08/04,97
2023/08/05,119
2023/08/06,97
2023/08/07,103
