Price at Date,Price in EUR
2023/06/08,70
2023/06/09,70
2023/06/10,70
2023/06/11,70
2023/06/12,70
2023/06/13,70
2023/06/14,70
2023/06/15,76
2023/06/16,76
2023/06/17,83
2023/06/18,83
2023/06/19,83
2023/06/20,83
2023/06/21,96
2023/06/22,100
2023/06/23,100
2023/06/24,90
2023/06/25,90
2023/06/26,110
2023/06/27,110
2023/06/28,110
2023/06/29,96
2023/06/30,96
2023/07/01,96
2023/07/02,96
2023/07/03,96
2023/07/04,96
2023/07/05,110
2023/07/06,110
2023/07/07,120
2023/07/08,120
2023/07/09,120
2023/07/10,120
2023/07/11,90
2023/07/12,89
2023/07/13,89
2023/07/14,89
2023/07/15,89
2023/07/16,89
2023/07/17,89
2023/07/18,99
2023/07/19,99
2023/07/20,80
2023/07/21,80
2023/07/22,90
2023/07/23,90
2023/07/24,90
2023/07/25,102
2023/07/26,119
2023/07/27,107
2023/07/28,129
2023/07/29,129
2023/07/30,129
2023/07/31,109
2023/08/01,109
2023/08/02,109
2023/08/03,109
2023/08/04,129
2023/08/05,139
2023/08/06,129
2023/08/07,169
