Price at Date,Price in EUR
2023/06/08,141
2023/06/09,141
2023/06/10,141
2023/06/11,141
2023/06/12,141
2023/06/13,227
2023/06/14,165
2023/06/15,141
2023/06/16,165
2023/06/17,165
2023/06/18,165
2023/06/19,165
2023/06/20,165
2023/06/21,165
2023/06/22,194
2023/06/23,165
2023/06/24,141
2023/06/25,141
2023/06/26,141
2023/06/27,141
2023/06/28,141
2023/06/29,141
2023/06/30,140
2023/07/01,141
2023/07/02,141
2023/07/03,164
2023/07/04,205
2023/07/05,227
2023/07/06,227
2023/07/07,226
2023/07/08,226
2023/07/09,226
2023/07/10,194
2023/07/11,194
2023/07/12,160
2023/07/13,140
2023/07/14,140
2023/07/15,140
2023/07/16,193
2023/07/17,193
2023/07/18,165
2023/07/19,165
2023/07/20,166
2023/07/21,166
2023/07/22,228
2023/07/23,228
2023/07/24,195
2023/07/25,195
2023/07/26,194
2023/07/27,227
2023/07/28,227
2023/07/29,206
2023/07/30,206
2023/07/31,206
2023/08/01,206
2023/08/02,177
2023/08/03,153
2023/08/04,153
2023/08/05,153
2023/08/06,153
2023/08/07,153
