Price at Date,Price in EUR
2023/06/08,62
2023/06/09,61
2023/06/10,57
2023/06/11,68
2023/06/12,72
2023/06/13,72
2023/06/14,83
2023/06/15,83
2023/06/16,81
2023/06/17,83
2023/06/18,81
2023/06/19,81
2023/06/20,59
2023/06/21,69
2023/06/22,29
2023/06/23,29
2023/06/24,29
2023/06/25,29
2023/06/26,58
2023/06/27,53
2023/06/28,60
2023/06/29,62
2023/06/30,61
2023/07/01,53
2023/07/02,53
2023/07/03,77
2023/07/04,72
2023/07/05,83
2023/07/06,89
2023/07/07,89
2023/07/08,89
2023/07/09,95
2023/07/10,76
2023/07/11,98
2023/07/12,75
2023/07/13,98
2023/07/14,101
2023/07/15,94
2023/07/16,94
2023/07/17,91
2023/07/18,94
2023/07/19,101
2023/07/20,106
2023/07/21,116
2023/07/22,112
2023/07/23,112
2023/07/24,77
2023/07/25,93
2023/07/26,93
2023/07/27,69
2023/07/28,82
2023/07/29,95
2023/07/30,101
2023/07/31,114
2023/08/01,116
2023/08/02,121
2023/08/03,106
2023/08/04,126
2023/08/05,131
2023/08/06,145
2023/08/07,176
