Price at Date,Price in EUR
2023/06/08,41
2023/06/09,42
2023/06/10,45
2023/06/11,40
2023/06/12,44
2023/06/13,23
2023/06/14,23
2023/06/15,44
2023/06/16,41
2023/06/17,35
2023/06/18,39
2023/06/19,39
2023/06/20,41
2023/06/21,41
2023/06/22,31
2023/06/23,41
2023/06/24,43
2023/06/25,39
2023/06/26,43
2023/06/27,36
2023/06/28,37
2023/06/29,43
2023/06/30,40
2023/07/01,40
2023/07/02,40
2023/07/03,36
2023/07/04,31
2023/07/05,42
2023/07/06,43
2023/07/07,46
2023/07/08,49
2023/07/09,53
2023/07/10,53
2023/07/11,56
2023/07/12,54
2023/07/13,49
2023/07/14,44
2023/07/15,44
2023/07/16,34
2023/07/17,34
2023/07/18,40
2023/07/19,40
2023/07/20,45
2023/07/21,50
2023/07/22,50
2023/07/23,50
2023/07/24,46
2023/07/25,44
2023/07/26,38
2023/07/27,33
2023/07/28,39
2023/07/29,40
2023/07/30,40
2023/07/31,40
2023/08/01,47
2023/08/02,46
2023/08/03,47
2023/08/04,40
2023/08/05,40
2023/08/06,40
2023/08/07,40
2023/08/08,64
2023/08/09,65
2023/08/10,65
2023/08/11,64
