Price at Date,Price in EUR
2023/06/08,47
2023/06/09,47
2023/06/10,48
2023/06/11,48
2023/06/12,42
2023/06/13,42
2023/06/14,40
2023/06/15,36
2023/06/16,47
2023/06/17,55
2023/06/18,55
2023/06/19,73
2023/06/20,86
2023/06/21,102
2023/06/22,101
2023/06/23,88
2023/06/24,86
2023/06/25,82
2023/06/26,64
2023/06/27,47
2023/06/28,40
2023/06/29,40
2023/06/30,40
2023/07/01,40
2023/07/02,40
2023/07/03,40
2023/07/04,47
2023/07/05,61
2023/07/06,73
2023/07/07,63
2023/07/08,63
2023/07/09,53
2023/07/10,53
2023/07/11,41
2023/07/12,34
2023/07/13,34
2023/07/14,36
2023/07/15,35
2023/07/16,30
2023/07/17,30
2023/07/18,30
2023/07/19,28
2023/07/20,28
2023/07/21,28
2023/07/22,28
2023/07/23,30
2023/07/24,30
2023/07/25,39
2023/07/26,48
2023/07/27,63
2023/07/28,63
2023/07/29,61
2023/07/30,57
2023/07/31,52
2023/08/01,51
2023/08/02,44
2023/08/03,44
2023/08/04,40
2023/08/05,40
2023/08/06,40
2023/08/07,30
2023/08/08,26
2023/08/09,30
2023/08/10,31
2023/08/11,31
