Price at Date,Price in EUR
2023/06/08,114
2023/06/09,114
2023/06/10,114
2023/06/11,131
2023/06/12,129
2023/06/13,129
2023/06/14,120
2023/06/15,120
2023/06/16,120
2023/06/17,120
2023/06/18,120
2023/06/19,120
2023/06/20,111
2023/06/21,111
2023/06/22,115
2023/06/23,124
2023/06/24,124
2023/06/25,115
2023/06/26,124
2023/06/27,117
2023/06/28,113
2023/06/29,113
2023/06/30,111
2023/07/01,111
2023/07/02,111
2023/07/03,111
2023/07/04,111
2023/07/05,103
2023/07/06,103
2023/07/07,92
2023/07/08,105
2023/07/09,111
2023/07/10,99
2023/07/11,99
2023/07/12,111
2023/07/13,111
2023/07/14,112
2023/07/15,113
2023/07/16,113
2023/07/17,113
2023/07/18,113
2023/07/19,113
2023/07/20,110
2023/07/21,110
2023/07/22,110
2023/07/23,115
2023/07/24,115
2023/07/25,115
2023/07/26,114
2023/07/27,115
2023/07/28,115
2023/07/29,115
2023/07/30,115
2023/07/31,115
2023/08/01,115
2023/08/02,115
2023/08/03,115
2023/08/04,132
2023/08/05,132
2023/08/06,132
2023/08/07,132
2023/08/08,133
2023/08/09,133
2023/08/10,132
2023/08/11,132
