Price at Date,Price in EUR
2023/06/08,92
2023/06/09,92
2023/06/10,87
2023/06/11,87
2023/06/12,87
2023/06/13,87
2023/06/14,87
2023/06/15,84
2023/06/16,84
2023/06/17,89
2023/06/18,108
2023/06/19,108
2023/06/20,96
2023/06/21,83
2023/06/22,62
2023/06/23,46
2023/06/24,46
2023/06/25,53
2023/06/26,61
2023/06/27,62
2023/06/28,74
2023/06/29,75
2023/06/30,86
2023/07/01,68
2023/07/02,68
2023/07/03,63
2023/07/04,68
2023/07/05,68
2023/07/06,58
2023/07/07,67
2023/07/08,67
2023/07/09,67
2023/07/10,74
2023/07/11,54
2023/07/12,47
2023/07/13,46
2023/07/14,54
2023/07/15,64
2023/07/16,66
2023/07/17,66
2023/07/18,76
2023/07/19,71
2023/07/20,70
2023/07/21,72
2023/07/22,82
2023/07/23,86
2023/07/24,96
2023/07/25,109
2023/07/26,102
2023/07/27,101
2023/07/28,96
2023/07/29,93
2023/07/30,93
2023/07/31,104
2023/08/01,97
2023/08/02,113
2023/08/03,113
2023/08/04,113
2023/08/05,113
2023/08/06,116
2023/08/07,111
2023/08/08,123
2023/08/09,125
2023/08/10,129
2023/08/11,131
