Price at Date,Price in EUR
2023/06/08,57
2023/06/09,55
2023/06/10,55
2023/06/11,57
2023/06/12,66
2023/06/13,69
2023/06/14,89
2023/06/15,79
2023/06/16,89
2023/06/17,89
2023/06/18,89
2023/06/19,87
2023/06/20,53
2023/06/21,79
2023/06/22,79
2023/06/23,77
2023/06/24,68
2023/06/25,91
2023/06/26,78
2023/06/27,62
2023/06/28,89
2023/06/29,74
2023/06/30,69
2023/07/01,80
2023/07/02,91
2023/07/03,91
2023/07/04,92
2023/07/05,92
2023/07/06,89
2023/07/07,91
2023/07/08,92
2023/07/09,92
2023/07/10,92
2023/07/11,92
2023/07/12,92
2023/07/13,87
2023/07/14,95
2023/07/15,96
2023/07/16,96
2023/07/17,96
2023/07/18,73
2023/07/19,58
2023/07/20,89
2023/07/21,99
2023/07/22,107
2023/07/23,107
2023/07/24,105
2023/07/25,110
2023/07/26,101
2023/07/27,99
2023/07/28,99
2023/07/29,104
2023/07/30,109
2023/07/31,109
2023/08/01,109
2023/08/02,109
2023/08/03,119
2023/08/04,109
2023/08/05,109
2023/08/06,89
2023/08/07,109
2023/08/08,109
2023/08/09,119
2023/08/10,119
2023/08/11,144
