Price at Date,Price in EUR
2023/06/08,29
2023/06/09,29
2023/06/10,29
2023/06/11,29
2023/06/12,28
2023/06/13,28
2023/06/14,27
2023/06/15,24
2023/06/16,24
2023/06/17,25
2023/06/18,24
2023/06/19,24
2023/06/20,25
2023/06/21,24
2023/06/22,24
2023/06/23,24
2023/06/24,22
2023/06/25,22
2023/06/26,22
2023/06/27,22
2023/06/28,14
2023/06/29,14
2023/06/30,14
2023/07/01,14
2023/07/02,17
2023/07/03,17
2023/07/04,19
2023/07/05,15
2023/07/06,15
2023/07/07,25
2023/07/08,15
2023/07/09,15
2023/07/10,15
2023/07/11,15
2023/07/12,15
2023/07/13,15
2023/07/14,15
2023/07/15,15
2023/07/16,15
2023/07/17,15
2023/07/18,15
2023/07/19,15
2023/07/20,15
2023/07/21,24
2023/07/22,24
2023/07/23,24
2023/07/24,24
2023/07/25,15
2023/07/26,15
2023/07/27,15
2023/07/28,15
2023/07/29,15
2023/07/30,15
2023/07/31,24
2023/08/01,25
2023/08/02,25
2023/08/03,26
2023/08/04,15
2023/08/05,15
2023/08/06,24
2023/08/07,25
2023/08/08,25
2023/08/09,26
2023/08/10,15
2023/08/11,27
