Price at Date,Price in EUR
2023/06/08,99
2023/06/09,99
2023/06/10,99
2023/06/11,89
2023/06/12,79
2023/06/13,79
2023/06/14,59
2023/06/15,59
2023/06/16,59
2023/06/17,59
2023/06/18,64
2023/06/19,64
2023/06/20,99
2023/06/21,64
2023/06/22,69
2023/06/23,99
2023/06/24,109
2023/06/25,109
2023/06/26,109
2023/06/27,109
2023/06/28,69
2023/06/29,69
2023/06/30,69
2023/07/01,69
2023/07/02,79
2023/07/03,89
2023/07/04,94
2023/07/05,85
2023/07/06,86
2023/07/07,89
2023/07/08,99
2023/07/09,99
2023/07/10,99
2023/07/11,99
2023/07/12,109
2023/07/13,89
2023/07/14,89
2023/07/15,99
2023/07/16,109
2023/07/17,139
2023/07/18,140
2023/07/19,139
2023/07/20,130
2023/07/21,130
2023/07/22,130
2023/07/23,130
2023/07/24,100
2023/07/25,80
2023/07/26,91
2023/07/27,100
2023/07/28,100
2023/07/29,100
2023/07/30,110
2023/07/31,120
2023/08/01,140
2023/08/02,206
2023/08/03,217
2023/08/04,226
2023/08/05,245
2023/08/06,235
2023/08/07,267
