Price at Date,Price in EUR
2023/06/08,85
2023/06/09,63
2023/06/10,61
2023/06/11,70
2023/06/12,75
2023/06/13,73
2023/06/14,73
2023/06/15,75
2023/06/16,75
2023/06/17,75
2023/06/18,75
2023/06/19,86
2023/06/20,84
2023/06/21,95
2023/06/22,86
2023/06/23,86
2023/06/24,83
2023/06/25,95
2023/06/26,95
2023/06/27,95
2023/06/28,86
2023/06/29,65
2023/06/30,55
2023/07/01,50
2023/07/02,50
2023/07/03,47
2023/07/04,47
2023/07/05,64
2023/07/06,76
2023/07/07,87
2023/07/08,86
2023/07/09,86
2023/07/10,87
2023/07/11,76
2023/07/12,76
2023/07/13,87
2023/07/14,87
2023/07/15,87
2023/07/16,84
2023/07/17,85
2023/07/18,75
2023/07/19,63
2023/07/20,69
2023/07/21,74
2023/07/22,87
2023/07/23,114
2023/07/24,101
2023/07/25,87
2023/07/26,94
2023/07/27,94
2023/07/28,96
2023/07/29,98
2023/07/30,94
2023/07/31,81
2023/08/01,63
2023/08/02,59
2023/08/03,55
2023/08/04,55
2023/08/05,75
2023/08/06,95
2023/08/07,95
2023/08/08,101
2023/08/09,76
2023/08/10,74
2023/08/11,98
