Price at Date,Price in EUR
2023/06/08,64
2023/06/09,64
2023/06/10,60
2023/06/11,60
2023/06/12,61
2023/06/13,52
2023/06/14,52
2023/06/15,45
2023/06/16,59
2023/06/17,67
2023/06/18,67
2023/06/19,77
2023/06/20,69
2023/06/21,59
2023/06/22,59
2023/06/23,59
2023/06/24,64
2023/06/25,69
2023/06/26,70
2023/06/27,60
2023/06/28,60
2023/06/29,61
2023/06/30,72
2023/07/01,70
2023/07/02,59
2023/07/03,44
2023/07/04,38
2023/07/05,38
2023/07/06,45
2023/07/07,65
2023/07/08,76
2023/07/09,76
2023/07/10,66
2023/07/11,66
2023/07/12,66
2023/07/13,76
2023/07/14,59
2023/07/15,69
2023/07/16,79
2023/07/17,66
2023/07/18,64
2023/07/19,69
2023/07/20,90
2023/07/21,96
2023/07/22,96
2023/07/23,96
2023/07/24,76
2023/07/25,60
2023/07/26,49
2023/07/27,59
2023/07/28,59
2023/07/29,60
2023/07/30,60
2023/07/31,60
2023/08/01,65
2023/08/02,77
2023/08/03,88
2023/08/04,88
2023/08/05,95
2023/08/06,102
2023/08/07,94
