Price at Date,Price in EUR
2023/06/08,49
2023/06/09,54
2023/06/10,54
2023/06/11,54
2023/06/12,49
2023/06/13,49
2023/06/14,49
2023/06/15,59
2023/06/16,69
2023/06/17,69
2023/06/18,79
2023/06/19,79
2023/06/20,79
2023/06/21,69
2023/06/22,69
2023/06/23,59
2023/06/24,59
2023/06/25,54
2023/06/26,54
2023/06/27,54
2023/06/28,64
2023/06/29,79
2023/06/30,69
2023/07/01,69
2023/07/02,69
2023/07/03,69
2023/07/04,81
2023/07/05,79
2023/07/06,79
2023/07/07,79
2023/07/08,79
2023/07/09,69
2023/07/10,64
2023/07/11,54
2023/07/12,59
2023/07/13,79
2023/07/14,79
2023/07/15,69
2023/07/16,79
2023/07/17,79
2023/07/18,80
2023/07/19,64
2023/07/20,69
2023/07/21,69
2023/07/22,69
2023/07/23,69
2023/07/24,59
2023/07/25,59
2023/07/26,64
2023/07/27,54
2023/07/28,59
2023/07/29,59
2023/07/30,59
2023/07/31,64
2023/08/01,89
2023/08/02,89
2023/08/03,99
2023/08/04,99
2023/08/05,99
2023/08/06,99
2023/08/07,139
