Price at Date,Price in EUR
2023/06/08,79
2023/06/09,79
2023/06/10,79
2023/06/11,80
2023/06/12,80
2023/06/13,80
2023/06/14,79
2023/06/15,73
2023/06/16,69
2023/06/17,68
2023/06/18,67
2023/06/19,67
2023/06/20,70
2023/06/21,72
2023/06/22,72
2023/06/23,68
2023/06/24,67
2023/06/25,85
2023/06/26,66
2023/06/27,66
2023/06/28,67
2023/06/29,73
2023/06/30,73
2023/07/01,76
2023/07/02,76
2023/07/03,63
2023/07/04,60
2023/07/05,63
2023/07/06,71
2023/07/07,67
2023/07/08,67
2023/07/09,71
2023/07/10,71
2023/07/11,68
2023/07/12,73
2023/07/13,81
2023/07/14,82
2023/07/15,84
2023/07/16,88
2023/07/17,85
2023/07/18,81
2023/07/19,89
2023/07/20,91
2023/07/21,93
2023/07/22,99
2023/07/23,91
2023/07/24,97
2023/07/25,91
2023/07/26,89
2023/07/27,103
2023/07/28,102
2023/07/29,103
2023/07/30,106
2023/07/31,104
2023/08/01,103
2023/08/02,121
2023/08/03,128
2023/08/04,146
2023/08/05,151
2023/08/06,163
2023/08/07,213
