Price at Date,Price in EUR
2023/06/08,133
2023/06/09,133
2023/06/10,133
2023/06/11,153
2023/06/12,153
2023/06/13,154
2023/06/14,204
2023/06/15,214
2023/06/16,232
2023/06/17,232
2023/06/18,226
2023/06/19,149
2023/06/20,142
2023/06/21,132
2023/06/22,119
2023/06/23,96
2023/06/24,111
2023/06/25,119
2023/06/26,101
2023/06/27,100
2023/06/28,106
2023/06/29,117
2023/06/30,113
2023/07/01,106
2023/07/02,117
2023/07/03,117
2023/07/04,108
2023/07/05,111
2023/07/06,111
2023/07/07,149
2023/07/08,159
2023/07/09,150
2023/07/10,142
2023/07/11,143
2023/07/12,142
2023/07/13,142
2023/07/14,132
2023/07/15,116
2023/07/16,116
2023/07/17,106
2023/07/18,105
2023/07/19,105
2023/07/20,112
2023/07/21,127
2023/07/22,133
2023/07/23,145
2023/07/24,133
2023/07/25,172
2023/07/26,129
2023/07/27,131
2023/07/28,131
2023/07/29,163
2023/07/30,164
2023/07/31,139
2023/08/01,161
2023/08/02,161
2023/08/03,151
2023/08/04,175
2023/08/05,183
2023/08/06,199
2023/08/07,176
2023/08/08,164
2023/08/09,160
2023/08/10,172
2023/08/11,200
