Price at Date,Price in EUR
2023/06/08,118
2023/06/09,118
2023/06/10,119
2023/06/11,118
2023/06/12,119
2023/06/13,119
2023/06/14,118
2023/06/15,119
2023/06/16,119
2023/06/17,119
2023/06/18,119
2023/06/19,119
2023/06/20,119
2023/06/21,118
2023/06/22,119
2023/06/23,119
2023/06/24,118
2023/06/25,119
2023/06/26,112
2023/06/27,118
2023/06/28,123
2023/06/29,107
2023/06/30,97
2023/07/01,97
2023/07/02,97
2023/07/03,87
2023/07/04,93
2023/07/05,117
2023/07/06,108
2023/07/07,113
2023/07/08,122
2023/07/09,122
2023/07/10,122
2023/07/11,122
2023/07/12,122
2023/07/13,127
2023/07/14,138
2023/07/15,138
2023/07/16,138
2023/07/17,110
2023/07/18,111
2023/07/19,132
2023/07/20,141
2023/07/21,103
2023/07/22,144
2023/07/23,143
2023/07/24,91
2023/07/25,91
2023/07/26,91
2023/07/27,91
2023/07/28,107
2023/07/29,108
2023/07/30,123
2023/07/31,132
2023/08/01,138
2023/08/02,138
2023/08/03,138
2023/08/04,148
2023/08/05,148
2023/08/06,156
2023/08/07,156
2023/08/08,149
2023/08/09,136
2023/08/10,159
2023/08/11,153
