Price at Date,Price in EUR
2023/06/08,95
2023/06/09,95
2023/06/10,111
2023/06/11,111
2023/06/12,111
2023/06/13,111
2023/06/14,111
2023/06/15,111
2023/06/16,111
2023/06/17,111
2023/06/18,111
2023/06/19,111
2023/06/20,112
2023/06/21,111
2023/06/22,111
2023/06/23,112
2023/06/24,112
2023/06/25,112
2023/06/26,112
2023/06/27,112
2023/06/28,112
2023/06/29,112
2023/06/30,111
2023/07/01,111
2023/07/02,111
2023/07/03,111
2023/07/04,112
2023/07/05,112
2023/07/06,112
2023/07/07,111
2023/07/08,111
2023/07/09,111
2023/07/10,111
2023/07/11,91
2023/07/12,91
2023/07/13,91
2023/07/14,91
2023/07/15,76
2023/07/16,76
2023/07/17,76
2023/07/18,77
2023/07/19,73
2023/07/20,76
2023/07/21,64
2023/07/22,62
2023/07/23,59
2023/07/24,59
2023/07/25,70
2023/07/26,75
2023/07/27,75
2023/07/28,81
2023/07/29,82
2023/07/30,81
2023/07/31,82
2023/08/01,82
2023/08/02,82
2023/08/03,82
2023/08/04,82
2023/08/05,82
2023/08/06,81
2023/08/07,82
2023/08/08,82
2023/08/09,82
2023/08/10,82
2023/08/11,111
