Price at Date,Price in EUR
2023/06/08,110
2023/06/09,90
2023/06/10,90
2023/06/11,90
2023/06/12,90
2023/06/13,90
2023/06/14,90
2023/06/15,71
2023/06/16,69
2023/06/17,80
2023/06/18,69
2023/06/19,80
2023/06/20,81
2023/06/21,90
2023/06/22,89
2023/06/23,89
2023/06/24,110
2023/06/25,110
2023/06/26,110
2023/06/27,81
2023/06/28,80
2023/06/29,89
2023/06/30,80
2023/07/01,71
2023/07/02,70
2023/07/03,80
2023/07/04,81
2023/07/05,100
2023/07/06,100
2023/07/07,89
2023/07/08,99
2023/07/09,90
2023/07/10,99
2023/07/11,100
2023/07/12,99
2023/07/13,80
2023/07/14,65
2023/07/15,56
2023/07/16,64
2023/07/17,65
2023/07/18,81
2023/07/19,81
2023/07/20,81
2023/07/21,81
2023/07/22,90
2023/07/23,101
2023/07/24,101
2023/07/25,90
2023/07/26,101
2023/07/27,101
2023/07/28,101
2023/07/29,111
2023/07/30,111
2023/07/31,91
2023/08/01,101
2023/08/02,120
2023/08/03,120
2023/08/04,130
2023/08/05,139
2023/08/06,139
2023/08/07,140
