Price at Date,Price in EUR
2023/06/08,190
2023/06/09,159
2023/06/10,159
2023/06/11,180
2023/06/12,180
2023/06/13,167
2023/06/14,158
2023/06/15,159
2023/06/16,191
2023/06/17,190
2023/06/18,190
2023/06/19,210
2023/06/20,160
2023/06/21,160
2023/06/22,152
2023/06/23,149
2023/06/24,199
2023/06/25,155
2023/06/26,199
2023/06/27,198
2023/06/28,166
2023/06/29,166
2023/06/30,175
2023/07/01,175
2023/07/02,175
2023/07/03,173
2023/07/04,151
2023/07/05,151
2023/07/06,175
2023/07/07,176
2023/07/08,189
2023/07/09,190
2023/07/10,190
2023/07/11,170
2023/07/12,166
2023/07/13,151
2023/07/14,160
2023/07/15,170
2023/07/16,170
2023/07/17,125
2023/07/18,136
2023/07/19,136
2023/07/20,147
2023/07/21,147
2023/07/22,147
2023/07/23,147
2023/07/24,147
2023/07/25,137
2023/07/26,125
2023/07/27,125
2023/07/28,136
2023/07/29,136
2023/07/30,147
2023/07/31,148
2023/08/01,170
2023/08/02,162
2023/08/03,181
2023/08/04,192
2023/08/05,192
2023/08/06,192
2023/08/07,211
