Price at Date,Price in EUR
2023/06/08,191
2023/06/09,202
2023/06/10,180
2023/06/11,180
2023/06/12,180
2023/06/13,187
2023/06/14,174
2023/06/15,160
2023/06/16,160
2023/06/17,160
2023/06/18,160
2023/06/19,160
2023/06/20,131
2023/06/21,145
2023/06/22,144
2023/06/23,160
2023/06/24,176
2023/06/25,175
2023/06/26,174
2023/06/27,176
2023/06/28,171
2023/06/29,152
2023/06/30,164
2023/07/01,164
2023/07/02,164
2023/07/03,139
2023/07/04,140
2023/07/05,150
2023/07/06,133
2023/07/07,138
2023/07/08,138
2023/07/09,143
2023/07/10,148
2023/07/11,141
2023/07/12,152
2023/07/13,155
2023/07/14,155
2023/07/15,159
2023/07/16,160
2023/07/17,130
2023/07/18,119
2023/07/19,119
2023/07/20,120
2023/07/21,130
2023/07/22,130
2023/07/23,130
2023/07/24,130
2023/07/25,145
2023/07/26,160
2023/07/27,160
2023/07/28,164
2023/07/29,176
2023/07/30,175
2023/07/31,175
2023/08/01,130
2023/08/02,130
2023/08/03,120
2023/08/04,109
2023/08/05,99
2023/08/06,120
2023/08/07,145
