Price at Date,Price in EUR
2023/06/08,139
2023/06/09,139
2023/06/10,139
2023/06/11,140
2023/06/12,147
2023/06/13,146
2023/06/14,146
2023/06/15,156
2023/06/16,156
2023/06/17,156
2023/06/18,173
2023/06/19,163
2023/06/20,163
2023/06/21,150
2023/06/22,142
2023/06/23,152
2023/06/24,171
2023/06/25,157
2023/06/26,151
2023/06/27,150
2023/06/28,151
2023/06/29,134
2023/06/30,134
2023/07/01,135
2023/07/02,135
2023/07/03,111
2023/07/04,117
2023/07/05,130
2023/07/06,144
2023/07/07,145
2023/07/08,145
2023/07/09,156
2023/07/10,141
2023/07/11,142
2023/07/12,152
2023/07/13,155
2023/07/14,145
2023/07/15,150
2023/07/16,156
2023/07/17,156
2023/07/18,158
2023/07/19,158
2023/07/20,145
2023/07/21,160
2023/07/22,161
2023/07/23,161
2023/07/24,161
2023/07/25,131
2023/07/26,121
2023/07/27,121
2023/07/28,121
2023/07/29,120
2023/07/30,121
2023/07/31,121
2023/08/01,146
2023/08/02,175
2023/08/03,175
2023/08/04,175
2023/08/05,222
2023/08/06,228
2023/08/07,233
2023/08/08,160
2023/08/09,175
2023/08/10,175
2023/08/11,213
