Price at Date,Price in EUR
2023/06/08,89
2023/06/09,89
2023/06/10,90
2023/06/11,90
2023/06/12,90
2023/06/13,90
2023/06/14,79
2023/06/15,65
2023/06/16,64
2023/06/17,64
2023/06/18,64
2023/06/19,69
2023/06/20,70
2023/06/21,70
2023/06/22,120
2023/06/23,130
2023/06/24,130
2023/06/25,130
2023/06/26,130
2023/06/27,191
2023/06/28,177
2023/06/29,177
2023/06/30,177
2023/07/01,177
2023/07/02,176
2023/07/03,176
2023/07/04,177
2023/07/05,138
2023/07/06,139
2023/07/07,139
2023/07/08,139
2023/07/09,140
2023/07/10,140
2023/07/11,130
2023/07/12,109
2023/07/13,90
2023/07/14,69
2023/07/15,64
2023/07/16,70
2023/07/17,65
2023/07/18,70
2023/07/19,70
2023/07/20,69
2023/07/21,69
2023/07/22,69
2023/07/23,90
2023/07/24,90
2023/07/25,89
2023/07/26,89
2023/07/27,70
2023/07/28,70
2023/07/29,71
2023/07/30,80
2023/07/31,80
2023/08/01,80
2023/08/02,110
2023/08/03,110
2023/08/04,110
2023/08/05,110
2023/08/06,89
2023/08/07,80
2023/08/08,69
2023/08/09,80
2023/08/10,89
2023/08/11,80
